"","Name","25-Aug","","Team","","","","","","","","","","","",""
"213","Carson Whisenhunt","110","687931","SFG","","","78%","30","23.1","3.92%","4.53","19.31%","97","89","84","5.01"
"214","Lucas Giolito","111","608337","","-6.7","","72%","165","145","10.60%","5.01","19.44%","92","100","93","3.41"
"215","Tomoyuki Sugano","112","608372","","-8.8","","82%","143","157","10.37%","5.2","15.74%","88","106","98","4.64"
"216","Luis Medina","","665622","OAK","-7.7","75","","114","48","6.70%","4.76","19.53%","","","",""
"217","Ricky Tiedemann","","694357","TOR","-10.1","42","","48","0","","3.73","26.64%","","","",""
"218","Gage Jump","","695611","ATH","","45","","28","","","4.42","21.40%","","","",""
"219","Trevor Williams","","592866","WSN","","","75%","18","82.2","11.80%","5.13","16.54%","90","102","94","6.21"
"220","Colin Rea","114","607067","CHC","-5.6","70","81%","134","159.1","12.54%","4.5","18.96%","93","103","95","3.95"
"221","Eric Lauer","119","641778","TOR","-4.8","","78%","57","104.2","17.84%","4.64","20.74%","94","101","91","3.18"
"222","Colton Gordon","","676467","HOU","-8.9","","85%","40","86","13.98%","4.62","19.54%","97","107","100","5.34"
"223","Miles Mikolas","121","571945","","-6.1","","82%","150","156.1","9.42%","4.95","15.37%","89","107","93","4.84"
"224","Taijuan Walker","122","592836","PHI","-12.5","","68%","121","123.2","8.18%","5.31","15.92%","86","101","91","4.08"
"225","Nick Martinez","123","607259","","-5.8","","89%","155","165.2","10.83%","4.52","18.63%","98","104","102","4.45"
"226","Alex Cobb","125","502171","","-5","","","64","","","4.29","19.58%","","","",""
"227","Mitch Spence","126","687765","ATH","-10.3","","88%","40","84.2","10.67%","4.64","18.02%","95","100","98","5.1"
"228","Erick Fedde","127","607200","#N/A","","","84%","","141","2.57%","4.9","17.14%","88","103","94","5.49"
"229","Brad Lord","129","695418","WSN","-3.9","","85%","155","130.2","11.90%","4.63","17.95%","91","102","91","4.34"
"230","Aaron Civale","132","650644","","-4","","83%","140","102","12.64%","4.51","19.79%","91","94","87","4.85"
"231","Walker Buehler","133","621111","","-14.3","","70%","130","126","5.49%","5","17.88%","96","93","91","4.93"
"232","Patrick Corbin","136","571578","","-6.2","","85%","142","155.1","12.07%","4.75","17.85%","93","103","97","4.4"
"233","Michael Lorenzen","137","547179","#N/A","-20.2","","73%","","141.2","14.52%","5.32","18.24%","92","102","94","4.64"
"234","Jordan Wicks","138","696136","CHC","-7.4","","","46","14.1","17.91%","3.98","21.07%","106","111","115","6.28"
"235","Jonathan Cannon","139","686563","CHW","-12","","88%","110","103.2","10.30%","4.88","16.56%","95","99","96","5.82"
"236","Mitchell Parker","140","680730","WSN","-6.8","","96%","81","164.2","6.21%","5.02","16.74%","92","102","93","5.68"
"237","Cal Quantrill","141","615698","","-11.6","","81%","85","117.2","9.75%","5.03","17.50%","88","99","89","6.04"
"238","Tyler Anderson","142","542881","","-13.2","","87%","144","136.1","7.85%","5.28","17.10%","100","97","93","4.56"
"239","Tobias Myers","143","668964","MIL","-5.1","55","84%","60","50.2","10.45%","4.28","19.54%","98","99","97","3.55"
"240","Brandon Young","144","687064","BAL","-8.7","","78%","36","57.2","9.77%","4.56","20.07%","94","102","98","6.24"
"241","José Ureña","145","570632","","","","69%","35","55","4.49%","5.03","16.09%","87","101","92","4.58"
